domain,model,state_index,n,mean,sd,se
Memory,gpt_bert_unmatched,3,6,0.05097361593598931,0.020823235985850418,0.008501050493149026
Memory,gpt_bert_unmatched,4,6,0.0523611766404638,0.021548037176840534,0.008796949340296914
Memory,gpt_bert_unmatched,5,6,0.05424232820886979,0.022577343129049295,0.009217161735650419
Memory,gpt_bert_unmatched,6,6,0.05472781302454393,0.023453372509377596,0.009574799232565566
Memory,gpt_bert_unmatched,7,6,0.0551800414113088,0.024163401468032093,0.009864667341116101
Memory,gpt_bert_unmatched,8,6,0.0551630906733959,0.02613850762873135,0.010671001054706216
Memory,gpt_bert_unmatched,9,6,0.055847338373390475,0.026148091287661473,0.010674913567080828
Memory,gpt_bert_unmatched,10,6,0.05634363731318403,0.025110975836461966,0.010251512957114971
Memory,gpt_bert_unmatched,11,6,0.0530054480043523,0.023008650590511347,0.009393242269456611
Memory,gpt_bert_unmatched,12,6,0.051442377815309116,0.02177066904873958,0.00888783842140247
Memory,babyconceptlm_242_zh,0,6,0.050085490766410085,0.02395176489919396,0.009778267073688295
Memory,babyconceptlm_242_zh,1,6,0.052225016613337755,0.02338605183198212,0.009547315681105993
Memory,babyconceptlm_242_zh,2,6,0.055931970122839604,0.025760520180801782,0.010516688325272172
Memory,babyconceptlm_242_zh,3,6,0.05351322670691677,0.02464113550624662,0.010059701445513578
Memory,babyconceptlm_242_zh,4,6,0.052528402947702085,0.023498105947718825,0.009593061582294943
Memory,babyconceptlm_242_zh,5,6,0.051631593157242035,0.023059225622961137,0.009413889439994392
Memory,babyconceptlm_242_zh,6,6,0.0523473575958105,0.02410948410818986,0.009842655671134185
Memory,babyconceptlm_242_zh,7,6,0.05982467095623817,0.025199682760764733,0.010287727407313884
Memory,babyconceptlm_242_zh,8,6,0.05881755143783979,0.024374681288910304,0.009950921966799142
Memory,babyconceptlm_242_zh,9,6,0.059518731210104536,0.024589342934137316,0.01003855721649123
Reward,gpt_bert_unmatched,0,6,0.019754283037751712,0.007470570658371029,0.0030498477000694686
Reward,gpt_bert_unmatched,1,6,0.020266757975280086,0.007606631047922554,0.003105394121503726
Reward,gpt_bert_unmatched,2,6,0.020972405547793897,0.008046501516908926,0.00328497048849295
Reward,gpt_bert_unmatched,3,6,0.02279642966718475,0.008332988964146328,0.0034019284990669755
Reward,gpt_bert_unmatched,4,6,0.024222731997213285,0.009059666585897599,0.003698593395865277
Reward,gpt_bert_unmatched,5,6,0.02521917009780285,0.01009638738939054,0.004121832891579594
Reward,gpt_bert_unmatched,6,6,0.025906340569552513,0.010831099939806922,0.004421778034269426
Reward,gpt_bert_unmatched,7,6,0.025220156403514413,0.010811016451315207,0.004413578984426132
Reward,gpt_bert_unmatched,8,6,0.024566915968248542,0.011176070972127777,0.004562611868473969
